"product_name","description","image_link","price","rating","store_name"
"Xiaomi Redmi 5A 3 / 32GB","Jakarta Barat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/3/12/31e48922-d3a0-4583-9866-8aa2974315be.jpg.webp?ect=4g","Rp798.000",5,"Fortune Ponsel"
"OPPO F9 6/64 GB","Jakarta Barat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/4/2cef113e-3ae3-4bd3-86b7-90e05fec9c4c.jpg.webp?ect=4g","Rp1.548.000",5,"Zhufu jian"
"ASUS ROG PHONE 5 PRO / ULTIMATE 512GB 256GB 128GB GARANSI 1 TAHUN - 8gb 128gb","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/3/26/99f2f2d7-0356-483e-b242-e66c9ab5d829.jpg.webp?ect=4g","Rp10.835.000",5,"chocoapple"
"OPPO F5 4/32 GB","Jakarta Barat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/5/4270ebd3-d0de-49e8-9ee0-7c9aa22259d0.jpg.webp?ect=4g","Rp1.185.000",5,"Zhufu jian"
"Infinix Smart 5 2/32 GB Garansi Resmi","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/product-1/2020/9/8/2608727/2608727_28fdd802-c662-4860-90a1-f7ec868d60ee_800_800.webp?ect=4g","Rp1.092.000",5,"Gudang-HP"
"Advan Hape Online Smart Feature Phone KaiOS Indosat Garansi Resmi","Jakarta Utara","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/3/8/7b979123-df22-41fd-a47f-2d296442f212.jpg.webp?ect=4g","Rp219.000",5,"CA Shop"
"Xiaomi Redmi 9A 2/32 GB Garansi Resmi","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/product-1/2020/10/10/2608727/2608727_43e27307-3883-4c0c-a00a-28d3c62cca5f_800_800.webp?ect=4g","Rp1.169.000",5,"Gudang-HP"
"Samsung Galaxy A02s 3/32 GB Garansi Resmi SEIN","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/6/ccdd16b0-b4db-4836-ae53-77f80af29db4.jpg.webp?ect=4g","Rp1.569.000",5,"Gudang-HP"
"vivo Y30i Ram 4/64GB Garansi Resmi VIVO INDONESIA","Jakarta Barat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/9/22/7447386b-df8e-4d6b-8c56-eb39e9eb3dc5.png.webp?ect=4g","Rp2.020.000",5,"OVANST0RE"
"Xiaomi Redmi 9T 6/128 GB Garansi Resmi","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/25/fb0724af-3ee0-4a35-9740-2499bc6a0603.jpg.webp?ect=4g","Rp2.333.000",5,"Gudang-HP"
"Samsung M02 2/32 GB Garansi Resmi","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/24/c5693920-a57c-42f4-90c7-ae0dec41f041.jpg.webp?ect=4g","Rp1.199.000",5,"Gudang-HP"
"Xiaomi Redmi Note 9 4/64 GB Garansi Resmi","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/product-1/2020/6/18/2608727/2608727_4d9f9da3-6cf7-4c3b-9709-3550ca400a5b_800_800.webp?ect=4g","Rp1.995.000",5,"Gudang-HP"
"Infinix Note 8 6/64 GB 6GB 64GB Garansi Resmi Infinix","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/5/23291a76-58e2-4766-82e4-1e55c5029f53.jpg.webp?ect=4g","Rp2.079.000",5,"Garasi.ku"
"Iphone 12 Pro Max 128Gb/256Gb/512Gb Garansi Resmi IBOX/TAM","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/18/1f275a92-6234-425f-9856-244afdd8064c.jpg.webp?ect=4g","Rp18.950.000",5,"Senjaya Selindo"
"Samsung Galaxy A51 8/256 GB Garansi Resmi","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/13/f955433c-48a8-4956-8dc2-f116842059b7.jpg.webp?ect=4g","Rp3.828.000",5,"Gudang-HP"
"XIaomi Poco X3 NFC 8/128 GB Garansi Resmi","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/product-1/2020/10/29/2608727/2608727_744b0fc7-e425-4cae-8782-0d90b07efe3c_800_800.webp?ect=4g","Rp3.265.000",5,"Gudang-HP"
"Nokia 105 King (2019) Garansi Resmi TAM","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/product-1/2020/1/20/7457278/7457278_0ac16043-c390-4468-978a-94b476e18b75_640_640.webp?ect=4g","Rp221.000",5,"LJS OFFICIAL"
"Samsung Galaxy M51 8/128 GB Garansi Resmi SEIN","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/product-1/2020/10/28/2608727/2608727_a3b5c6f1-60d2-4c50-9d9a-c0f387c69f51_800_800.webp?ect=4g","Rp4.559.000",5,"Gudang-HP"
"Iphone XR Garansi Resmi Ibox","Jakarta Barat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/11/10/192bac85-449b-44bc-bbb4-0fba579ccb0f.jpg.webp?ect=4g","Rp7.325.000",5,"Cv.Sentra inti pratama"
"Samsung Galaxy A12 6/128GB 4/128GB Garasni SEIN 4 GB 6 GB 128 GB","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/11/d3173d8c-8bb0-415f-9396-86e2c1abac00.jpg.webp?ect=4g","Rp2.183.000",5,"Distributor Ponsel"
"Samsung Galaxy A12 4/128 Garansi Resmi","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/8/cdd1be5e-d870-44ae-9369-aea2a58c8c60.jpg.webp?ect=4g","Rp2.170.000",5,"PRISMA ROXY"
"Samsung Galaxy A21S 6/128 Garansi Resmi SEIN","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/29/37fd3927-43b6-4a5b-831b-650ac17b8927.jpg.webp?ect=4g","Rp2.725.000",5,"PRISMA ROXY"
"Samsung Galaxy A01 2/16 GB Garansi Resmi SEIN","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/product-1/2020/3/5/2608727/2608727_94b637ec-cb71-42f6-b8ea-ab7a6cc3fba3_800_800.webp?ect=4g","Rp1.126.000",5,"Gudang-HP"
"Infinix Itel Vision 1 Pro 3/32 RAM 3GB ROM 32GB GARANSI RESMI","Bekasi","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/5/4/720559c4-b708-4a38-a28a-8943ad47d524.jpg.webp?ect=4g","Rp1.098.000",5,"Shadow Gold"
"Itel Vision 1 Pro ( 2/32Gb / 3/32Gb ) Garansi Resmi by Infinix","Jakarta Selatan","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/17/8d69c008-48d1-4bb1-86b1-c9a7a969ca6d.jpg.webp?ect=4g","Rp985.000",5,"murahmeriah shop"
"Samsung Galaxy A01 Core 2/32GB Garansi Resmi Samsung A01 2 GB 32 GB","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/9/58feec14-f335-47b7-afad-9671fdf0d7cd.jpg.webp?ect=4g","Rp909.000",5,"Distributor Ponsel"
"Xiaomi Redmi Note 9 4/64 GB - Garansi Resmi Xiaomi Indonesia","Jakarta Utara","https://images.tokopedia.net/img/cache/200-square/product-1/2020/6/18/3071296/3071296_372cd694-eeda-42e8-9cec-e69bbcb1b062_1800_1800.webp?ect=4g","Rp1.995.000",5,"Universe Store"
"Iphone 11 128GB Garansi Resmi TAM / Ibox","Jakarta Barat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/11/10/916bdfa2-fee9-4206-96aa-a331a52e9ab2.jpg.webp?ect=4g","Rp11.499.000",5,"Cv.Sentra inti pratama"
"Samsung Galaxy A12 4/128 / 6/128 Garansi Resmi Sein By Tam","Jakarta Selatan","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/7/f5c0e160-deb5-4281-b156-8144e4e59a00.jpg.webp?ect=4g","Rp2.219.000",5,"murahmeriah shop"
"Xiaomi Redmi 9c 3/32 GB Garansi Resmi","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/product-1/2020/9/16/2608727/2608727_c7f7ff36-f2c8-468c-a95e-4eb95ce4fec9_800_800.webp?ect=4g","Rp1.385.000",5,"Gudang-HP"
"Xiaomi Redmi 9T 4/64 GB Garansi Resmi","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/25/3cd35cba-fcf8-4ac3-8243-bf6028358270.jpg.webp?ect=4g","Rp1.929.000",5,"Gudang-HP"
"Xiaomi Poco M3 6/128GB 4/64GB Garansi Resmi 128 GB 64 GB Biru Hitam","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/19/d866c7b6-03f2-4bcc-bd26-1e82758cdf96.jpg.webp?ect=4g","Rp1.939.000",5,"Distributor Ponsel"
